Company,Job Title,Description,Time Posted,Location,image_url
Human Global,Art Director,talented Art and Video Editor with 3-4 years of experience,8 hours ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Blueberry Media,Graphic Designer,Looking for a Graphic Designer for Social Media,9 hours ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
ALLEGORY,"Branding, Graphic Design, Illustration","Seeking a creative for branding, graphic designer, and sometimes, an illustrator.",17 hours ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
AQOMI,Creative Illustrator & Cartoon Artist,🚀 Calling All Creative Wizards of the Comic Multiverse! 🎨✨,19 hours ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
The Social Ana,Graphic Designer,We are looking for a talented graphic designer to join our team,a day ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Luck & Co,Email Designer at Luck & Co,"Looking for an EMAIL designer. Fully remote. Start part-time, going into full-time.",3 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
InsuranceMarket.ae,Graphics Designer,We are looking for an Amazing Graphics Designer who can create amazing animations & static,4 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
VDP Design International Ltd.,Full-time Senior Archviz Talent,VDP is searching for remote 3D Visualization Super Stars!,4 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Dcmarketing.io,Viral Capcut Canva Editor,Capcut editor and Canva,5 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
roblox,Senior Game Art Designer《Remotely available》,Senior Game Art Designer《Remotely available》,5 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
EXELA PUBLISHING HOUSE,GRAPHIC DESIGNER,WE ARE LOOKING FOR GRAPHIC DESIGNER.,6 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Lucky Rabbit,Director de Arte senior - diseñador motion grapher,Director de arte motion graphic,8 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Stackit Digital,Multi-Talented Designer and Animator for Website and Brand Design,We're looking for a multi-talented designer and animator for website and brand design,8 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
EMPIRE COSMIC,Graphic Novel - Background Artist,Background Artist for Ongoing Graphic Novel Project,9 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Empire Cosmic,Graphic Novel - Colourist,Colourist for ongoing graphic novel,9 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
roblox,Senior Game Art Designer《Remotely available》,Senior Game Art Designer《Remotely available》,5 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
EXELA PUBLISHING HOUSE,GRAPHIC DESIGNER,WE ARE LOOKING FOR GRAPHIC DESIGNER.,6 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
